Front,Back,Tags
What does `'text' instanceof SomeClass` evaluate to?,"false<br><br>instanceof on a non-object simply returns false; it never throws and never returns null or true for a string. This makes it safe to use as a guard without first checking is_object(). Misconception: assuming instanceof errors on scalars — it is deliberately total, returning false for anything that is not an instance.",php-web-security
Can a single class implement two interfaces that declare the same method signature?,"Yes, one compatible implementation satisfies both<br><br>Identical or compatible signatures are not a conflict; a single method body fulfils both contracts. It is not always a conflict, insteadof is a trait mechanism (not for interfaces), and it applies to instance methods too. Misconception: importing the trait-collision rules into interfaces — interfaces only demand a compatible signature, they carry no bodies to clash.",php-web-security
A parent method is `handle(Cat $c)`. Which override signature is legal under contravariance?,"handle(Animal $c) — widening the parameter is allowed<br><br>Parameter types are contravariant: a child may accept a wider (more general) type such as Animal, preserving substitutability. Narrowing to Kitten would reject values the parent accepted (illegal), an unrelated type breaks the contract, and dropping a required parameter changes arity. Misconception: applying the covariant (narrowing) rule to parameters — returns narrow, parameters widen.",php-web-security
True or False: an interface may declare (non-constant) properties.,"False<br><br>Interfaces are pure contracts: they may declare method signatures and constants (typed since 8.3) but never properties, because they carry no state. If you need shared state, use an abstract class. Misconception: treating an interface like an abstract class — only abstract classes hold properties and a constructor.",php-web-security
A parent declares `serialize(): string`. Is overriding it with `serialize(): never` legal?,"Yes — never is the bottom type and is a valid covariant return<br><br>never is the bottom type: a method that always throws or exits satisfies any return contract, so `: never` is a valid covariant narrowing of `: string`. never is not unrelated (it is a subtype of every type), it is not restricted to void methods, and the parent need not also return never. Misconception: thinking never only marks infinite loops/exit; it is a genuine type in the variance lattice.",php-web-security
What does the type declaration `(Countable&Traversable)|null` require of an argument?,"An object implementing both Countable and Traversable, or null<br><br>A DNF type groups the intersection: the value must implement both interfaces (the &amp; group) OR be null. &quot;Either/or&quot; describes a plain union, which this is not inside the parentheses. Scalars cannot satisfy an interface intersection, and it clearly accepts non-null objects too. Misconception: reading the | as applying to each interface individually rather than to the whole parenthesised group.",php-web-security
Which statements about interfaces are correct? (choose two),"An interface may extend several parent interfaces ; Interface constants may be typed since PHP 8.3<br><br>Interfaces support multiple `extends` (multiple inheritance of type) and, since 8.3, typed constants. They never carry method bodies (that is a trait/abstract class feature — PHP has no default interface methods), and a class may implement many interfaces. Misconception: importing &quot;default methods&quot; from other languages — PHP interfaces are body-less.",php-web-security
An interface declares `const string VERSION`. An implementing class overrides it with `const int VERSION = 8;`. What happens?,"A fatal error — the overriding constant must keep a compatible (string) type<br><br>Typed class constants (8.3) enforce the declared type on overrides, so redeclaring a string constant as int is a fatal type error. Types are not advisory, there is no silent coercion of the constant value, and it is a hard error, not a deprecation. Misconception: assuming interface constants can be freely overridden — untyped ones can vary in value, but a typed constant pins the type.",php-web-security
When does `function () use ($x) {}` capture the value of `$x`?,"At definition time, by value<br><br>use captures by value at the moment the closure is defined, taking a snapshot; it is not captured at call time and does not track the live variable. To share and observe later mutations, capture by reference with `use (&amp;$x)`. Misconception: expecting a closure to see a variable&#x27;s value as it is when the closure runs — the value is frozen at definition.",php-web-security
Which statement about arrow functions (fn) is true?,"They auto-capture the enclosing scope by value<br><br>Arrow functions auto-capture used outer variables by value and consist of a single expression. They have no use list (that is what &quot;auto&quot; means), cannot capture by reference, and cannot hold multiple statements — use a full closure for that. Misconception: expecting fn to behave like a full closure with `use (&amp;...)`; it is deliberately restricted.",php-web-security
"What does `Closure::bind($c, $obj, Foo::class)` return?",A new closure bound to $obj with Foo's scope<br><br>Closure::bind is static and returns a new closure; the original $c is unchanged (closures are immutable in their binding). The scope argument (Foo::class) grants access to Foo&#x27;s private/protected members. It does not invoke the closure or produce a string. Misconception: thinking bind mutates the closure in place — always assign the returned closure.,php-web-security
What does the expression `trim(...)` produce?,"A Closure wrapping the trim function<br><br>First-class callable syntax (8.1+) turns any callable into a Closure, so trim(...) yields a Closure object. It is not the string &#x27;trim&#x27;, it does not call trim (no argument is passed), and it is valid syntax in 8.4. It is the type-safe modern replacement for &#x27;trim&#x27; or Closure::fromCallable(&#x27;trim&#x27;). Misconception: reading `(...)` as an immediate call.",php-web-security
`$base=10; $v=fn($n)=>$n+$base; $r=function($n)use(&$base){return $n+$base;}; $base=100;` — what are `$v(1)` and `$r(1)`?,"11 and 101<br><br>The arrow function captured $base by value at definition (10), so $v(1)=11 regardless of the later reassignment. The full closure captured by reference (&amp;$base), so it sees $base=100 and returns 101. Both-101 ignores the by-value snapshot; both-11 ignores the reference; the last option swaps them. Misconception: assuming fn tracks later mutations — only `use (&amp;$x)` does.",php-web-security
A closure reads `$this->secret` (a private property). What determines whether that access succeeds?,"The closure's bound scope, set at creation or via bindTo/bind<br><br>A closure&#x27;s access to private/protected members depends on its scope, fixed when it is created (inside a method) or reassigned via bindTo/bind/call — not on where it is later called. readonly governs writes, not read access, and the caller&#x27;s own visibility is irrelevant. Misconception: thinking private access is decided at the call site — it is the closure&#x27;s scope that matters.",php-web-security
"How do `Closure::bind`, `$c->bindTo` and `$c->call` differ?","bind (static) and bindTo (instance) return a new bound closure; call binds and invokes in one step<br><br>bind is the static form and bindTo the instance form; both return a fresh bound closure without calling it. call binds a new $this and scope and invokes immediately, returning the result. Only call runs the closure, none mutate the original (closures are immutable in their binding), and call does not return an un-invoked closure. Misconception: expecting bindTo to also execute — it only rebinds.",php-web-security
True or False: an arrow function can capture an outer variable by reference.,"False<br><br>Arrow functions always auto-capture by value and have no mechanism for by-reference capture (no use list, no `&amp;`). If you need a reference, use a full closure with `use (&amp;$x)`. Misconception: assuming fn is just shorter syntax with the same power — it is intentionally limited to by-value, single-expression bodies.",php-web-security
"`$reader = fn () => $this->secret; $bound = Closure::bind($reader, new Box(), Box::class); echo $bound();` where Box has `private $secret='hidden'`. Output?","hidden<br><br>Passing Box::class as the scope grants the rebound closure access to Box&#x27;s private property, so it prints &quot;hidden&quot;. Without the scope argument the private read would fail — but here it is supplied, so no Error, no null, no empty string. Misconception: thinking $this alone grants access; you must also pass the scope to unlock private/protected members.",php-web-security
"A closure captures `use ($id)` when $id='A', then $id is set to 'B' before the closure runs. What does it see?","'A' — the value snapshotted at definition time<br><br>`use ($id)` captures by value when the closure is defined, so it keeps &#x27;A&#x27; even though $id later becomes &#x27;B&#x27;. To observe the update you would capture by reference `use (&amp;$id)`. Captured variables are not reset to null, and reassigning the outer variable never throws. Misconception: treating use like a live binding rather than a snapshot.",php-web-security
A concrete class inherits an abstract method but does not implement it. What happens?,"Fatal error unless the class itself is declared abstract<br><br>Any unimplemented abstract method forces the class to be abstract too; otherwise PHP raises a fatal error. It never silently returns null or runs normally, and it is a hard error not a deprecation. Misconception: assuming an unimplemented abstract method is merely optional — a concrete class must implement every inherited abstract method.",php-web-security
Which feature can an abstract class have that an interface cannot?,"Properties and a constructor<br><br>Abstract classes can hold state (properties) and a constructor; interfaces are pure contracts and can hold neither. Neither supports multiple parents (only interfaces allow multiple extends of interfaces), both can declare public method signatures, and both can hold constants. Misconception: thinking abstract classes are just interfaces with bodies — they add state and construction.",php-web-security
How many abstract classes can a class extend?,"Exactly one<br><br>PHP has single class inheritance, so a class extends exactly one class (abstract or not). Interfaces provide multiple type inheritance instead. &quot;Zero&quot; is wrong for a class that does extend one, and &quot;two&quot; contradicts single inheritance. Misconception: hoping abstract classes offer multiple inheritance — they do not; compose or use interfaces/traits.",php-web-security
`abstract class A {} new A();` — what does this produce?,"A fatal Error: Cannot instantiate abstract class A<br><br>Abstract classes cannot be instantiated directly; `new A()` throws a fatal Error at runtime. It does not create an instance or return null, and it parses fine (the failure is at instantiation). Instantiate a concrete subclass instead. Misconception: thinking an abstract class with no abstract methods can still be new-ed — the abstract keyword alone blocks it.",php-web-security
"In the template method pattern, why is the public skeleton method often marked `final`?","To stop subclasses overriding the algorithm skeleton, restricting them to the abstract hooks<br><br>The template method fixes the invariant algorithm and defers only the variable steps to abstract hooks; marking it final protects those invariants from being overridden. It does the opposite of allowing full replacement; abstract methods cannot be final (they must be overridden); and final has nothing to do with instantiability. Misconception: leaving the skeleton overridable, which lets subclasses break the pattern.",php-web-security
True or False: declaring `abstract public function run(): void {}` (with a body) is valid.,"False<br><br>An abstract method declares a signature only and must not have a body; adding `{}` is a parse error. If you want a default body, drop abstract and make it a concrete (optionally overridable) method. Misconception: confusing an abstract method (no body, must be implemented) with a concrete method that happens to be empty.",php-web-security
`abstract class Exporter { abstract protected function format(array $d): string; final public function export(array $d): string { return 'BEGIN'.$this->format($d).'END'; } }` — what role does export() play?,"It is the template method: a fixed skeleton calling the abstract hook format()<br><br>export() is a concrete, final template method that defines the fixed wrapping and defers the variable step to the abstract format() hook — a textbook template method. It is not itself abstract (it has a body), not a factory, and calling an abstract method from a concrete one is perfectly legal because concrete subclasses supply format(). Misconception: thinking you cannot call an abstract method internally.",php-web-security
"You need several unrelated classes to share only a contract (no state, and some already extend other classes). Which do you choose?",An interface — it needs no state and allows multiple type inheritance<br><br>An interface fits: no shared state is needed and classes can implement many interfaces even while extending another class. An abstract class would consume the single inheritance slot some classes already use. A trait is not a type (cannot be type-hinted). A final class cannot be extended at all. Misconception: reaching for an abstract class by default when only a contract is required.,php-web-security
Which statements about abstract classes are correct? (choose two),"A single abstract method forces the whole class to be abstract ; An overriding method must obey variance rules (covariant return, contravariant params)<br><br>One abstract method makes the class abstract, and implementations of an abstract method must respect variance just like interface/parent overrides. Abstract classes can define constructors (called via parent::__construct in subclasses), and the abstract keyword blocks instantiation regardless of whether abstract methods exist. Misconception: thinking a body-less-method count or constructor presence changes instantiability.",php-web-security
"A class, its parent, and a used trait all define `run()`. Which implementation is used?","The class's own run()<br><br>Precedence is class method &gt; trait method &gt; inherited parent method, so the class&#x27;s own run() wins. The trait would only win over the inherited parent (not over the class itself), the parent is lowest priority, and this is not an error because there is a clear winner. Misconception: assuming a trait overrides everything — it overrides the parent but not the using class&#x27;s own method.",php-web-security
Two used traits define the same method and you add no resolution. Result?,"Fatal error<br><br>Unresolved trait method collisions are a fatal error; PHP does not pick first or last, and it never chains both. Resolve with `insteadof` (choose one) and optionally `as` (alias the other). Misconception: expecting a silent ordering rule like some languages — PHP forces explicit resolution.",php-web-security
"A `static` property declared in a trait, used by classes X and Y, is…","Separate per using class (X and Y have independent copies)<br><br>Traits are copied into each using class at compile time, so a static property becomes a distinct static of X and of Y — not shared across them. Static trait members are legal and not implicitly read-only. Misconception: treating the trait as a single shared owner of the static state; the trait is a template, not a runtime container.",php-web-security
What does `LoggerTrait::log as protected writeLog;` do?,"Aliases the method to writeLog with protected visibility<br><br>The `as` operator can rename a trait method and change its visibility at once, creating protected writeLog. The original log remains available (it is not deleted), and as never changes a method to abstract or static. Misconception: thinking `as` replaces the original — it adds an alias; use `insteadof` to exclude a colliding version.",php-web-security
Traits A and B both define `init()`. You want A's version kept and B's exposed as `initLegacy()`. Which resolution is correct?,"use A, B { A::init insteadof B; B::init as initLegacy; }<br><br>insteadof selects A::init as the surviving init(), and as aliases the excluded B::init to initLegacy — exactly matching the requirement. The second option keeps B (wrong version). The third has invalid syntax mixing as and insteadof in one clause. The fourth lacks the trait qualifiers insteadof requires. Misconception: believing as alone resolves a collision — you still need insteadof to pick the winner.",php-web-security
Why can you not write a type hint `function f(MyTrait $x)`?,"A trait is not a type; it is copied into classes and cannot be type-hinted or used with instanceof<br><br>Traits provide horizontal code reuse but are not types, so they cannot appear in a type declaration or instanceof check. There is no trait hinting keyword, no &quot;abstract trait&quot; exception, and no static-only allowance. Pair a trait with an interface when callers need a type. Misconception: treating a trait like an interface — only the interface is the contract/type.",php-web-security
What does declaring an `abstract` method inside a trait accomplish?,"It forces the using class to implement that method<br><br>An abstract trait method imposes a contract on the using class, which must provide an implementation — like an interface method but copied in. Traits are never instantiable, abstract is fully honoured inside traits, and an abstract method has no body. Misconception: assuming traits can only supply concrete methods — they can also demand methods from the host class.",php-web-security
True or False: a trait can be instantiated directly with `new`.,"False<br><br>A trait is a compile-time code-reuse template, not a class or a type, so it cannot be instantiated; only a class that `use`s the trait can be. This is why traits are neither types nor objects. Misconception: viewing a trait as a lightweight class — it has no independent existence at runtime.",php-web-security
What does `FileLogger::log as protected;` (no new name) do?,"Changes the visibility of log() to protected without renaming it<br><br>`as` can be used purely to change visibility when no new name follows, so log() becomes protected but keeps its name. It is not an anonymous alias, does not remove the method, and does not make it abstract. Misconception: thinking as always renames — the alias name is optional, leaving only a visibility change.",php-web-security
"A class defines `save()`, and a trait it uses also defines `save()`. A developer expects the trait's version to run but gets the class's. Why?","The class's own method takes precedence over any trait method<br><br>Trait precedence is class &gt; trait &gt; inherited parent, so the class&#x27;s own save() always overrides the trait&#x27;s. This is defined, expected behaviour, not a bug or error. To use the trait&#x27;s version, alias it with `as` (e.g. `Trait::save as saveViaTrait;`). Misconception: assuming a trait method overrides the host class&#x27;s own method — it only overrides inherited ones.",php-web-security
Which catch clause catches BOTH a TypeError and a RuntimeException?,"catch (\Throwable $e)<br><br>Throwable is the only common ancestor of both Error (TypeError) and Exception (RuntimeException). catch(\\Exception) misses the TypeError, catch(\\Error) misses the RuntimeException, and LogicException catches neither. Misconception: assuming \\Exception is the root of everything — it is not; \\Throwable is.",php-web-security
A `return` inside a `finally` block…,"Overrides any return or throw from the try block<br><br>finally always runs last, and a return there wins — it overrides both a return and a pending throw from try, which is why it can silently swallow exceptions and is discouraged. It is valid syntax, never ignored, and finally runs after try, not before. Misconception: thinking finally is just cleanup that cannot alter the result — a return in it changes the outcome.",php-web-security
What can `set_error_handler()` intercept?,"Traditional warnings, notices and deprecations<br><br>It handles traditional (non-fatal) engine errors like warnings/notices/ deprecations, often converting them to ErrorException. Uncaught exceptions go to set_exception_handler, and fatal E_ERROR/parse errors are caught via register_shutdown_function + error_get_last, not the error handler. Misconception: expecting one handler for both errors and exceptions — they are separate mechanisms.",php-web-security
"Under `declare(strict_types=1)`, passing a string to an int parameter throws…","TypeError (a subclass of Error)<br><br>Strict typing rejects the wrong scalar type with a TypeError, which extends Error (not Exception). It is not InvalidArgumentException (an application Exception you throw yourself), not a mere warning, and not ValueError (which signals a correctly-typed but out-of-range value). Misconception: expecting catch(\\Exception) to catch it — it is an Error, so use \\Throwable.",php-web-security
True or False: `catch (\Exception $e)` will catch a `TypeError`.,"False<br><br>TypeError extends Error, and Error is a separate branch from Exception under Throwable, so catch(\\Exception) never catches it. To catch both branches use catch(\\Throwable). Misconception: believing Exception is the universal base type — Throwable is the interface both Error and Exception implement.",php-web-security
"`try { intdiv(1, 0); } catch (\Exception $e) { echo 'caught'; }` — what happens?","The DivisionByZeroError is uncaught and the script fails<br><br>intdiv(1, 0) throws DivisionByZeroError, which extends ArithmeticError → Error, not Exception — so the catch(\\Exception) block does not match and the error propagates uncaught. It does not print &#x27;caught&#x27;, does not return 0, and modern PHP throws rather than warning. Fix by catching \\DivisionByZeroError or \\Throwable. Misconception: assuming division errors are Exceptions.",php-web-security
"In the Throwable hierarchy, which chain is correct?","DivisionByZeroError → ArithmeticError → Error → Throwable<br><br>DivisionByZeroError extends ArithmeticError, which extends Error, which implements Throwable. The engine-fault classes (TypeError, ValueError, ArithmeticError) live under Error, never under Exception — so the other chains, which route them through Exception/RuntimeException/LogicException, are wrong. Misconception: mixing the Error and Exception branches; they share only the Throwable interface.",php-web-security
Does the `@` error-suppression operator stop a thrown exception from propagating?,"No — @ only mutes traditional errors/warnings, not thrown exceptions<br><br>@ suppresses the reporting of traditional errors (warnings/notices); a thrown exception still propagates and must be caught with try/catch. It does not swallow exceptions, does not special-case Error subclasses, and its behaviour is not tied to try blocks. Misconception: using @ as a catch-all — it only affects the legacy error-reporting path.",php-web-security
Which of these are `Error` subclasses rather than `Exception` subclasses? (choose two),TypeError ; ValueError<br><br>TypeError and ValueError extend Error (engine-level faults). RuntimeException and JsonException extend Exception (application-level conditions). The two branches meet only at the Throwable interface. Misconception: grouping ValueError with the application exceptions because it sounds like a validation issue — it is an Error thrown by the engine for out-of-range values.,php-web-security
"You catch a JsonException and rethrow with `throw new RuntimeException('Bad', previous: $e);`. Why pass `previous`?","To preserve the root cause and its stack trace, retrievable via getPrevious()<br><br>Passing the original as previous chains the exceptions, keeping the root cause and its trace accessible through getPrevious() — vital for debugging. It is optional, not required syntax; it does not suppress the original (it retains it) nor auto-merge messages. Misconception: discarding the caught exception when wrapping, which loses the original diagnostic trail.",php-web-security
Which call reliably reports whether an extension is loaded?,"extension_loaded('intl')<br><br>extension_loaded() returns a bool indicating whether the named module is loaded. include expects a file path (not a module), require_extension() is not a real function, and ini_get() reads an INI directive, not module presence. Misconception: guessing at helper names — the canonical runtime check is extension_loaded(), with function_exists()/class_exists() for specific symbols.",php-web-security
"For a UTF-8 string, `strlen('é')` returns…","2 (it counts bytes)<br><br>strlen counts bytes, and &#x27;é&#x27; is two bytes in UTF-8, so it returns 2. It is not 1 (that would be the character count via mb_strlen), not 0, and not 4. Use mb_strlen($s, &#x27;UTF-8&#x27;) for a character count. Misconception: assuming strlen is character-aware — it is byte-based, which breaks length checks on non-ASCII input.",php-web-security
What does the opcache extension cache?,"Compiled PHP bytecode in shared memory<br><br>OPcache stores precompiled script bytecode in shared memory to skip recompilation on every request — the biggest production speedup. It is not an application data cache: query results, HTTP responses and rendered templates are cached by other layers. Misconception: treating OPcache as a general cache; it caches only opcodes, not your data.",php-web-security
How do you make `composer install` fail on a host lacking the intl extension?,"Add ""ext-intl"": ""*"" to the require section<br><br>ext-* platform requirements in require are verified at install time and fail fast when the extension is missing. autoload is for class maps, not platform gating; an env var does not enforce it; and Composer does not auto-require extensions your code happens to use. Misconception: expecting Composer to infer extension needs — you must declare them explicitly.",php-web-security
What is the classic gotcha with `ctype_digit(123)` (passing an integer)?,"Small integers are interpreted as ASCII codes, not their digits, giving surprising results<br><br>ctype functions treat an int argument in the range -128..255 as an ASCII character code, so ctype_digit(123) checks character code 123 (&#x27;{&#x27;), not the digits &quot;123&quot; — a false negative. It does not always return true, does not throw, and does not stringify (that is exactly the assumption that bites you). Pass strings: ctype_digit(&#x27;123&#x27;) is true. Misconception: assuming numeric arguments are auto-cast to their textual form.",php-web-security
"In composer.json, what does a `require` block listing `ext-mbstring`, `ext-intl`, `ext-ctype` enforce?","install/update fails on any host missing those extensions<br><br>Listing ext-* under require makes them platform requirements checked at install/update time, failing fast if absent. Composer cannot download or compile C extensions (they must exist on the host); the requirement is not dev-only; and it does not disable polyfills (polyfills are separate packages). Misconception: expecting Composer to provide the extension — ext-* only gates, it does not install.",php-web-security
"What do `strlen('café')` and `mb_strlen('café', 'UTF-8')` return respectively?","5 and 4<br><br>strlen counts bytes: &#x27;é&#x27; is 2 bytes in UTF-8, so &#x27;café&#x27; is 5 bytes. mb_strlen counts characters, giving 4. The other options assume both count the same way, which is the exact trap. Use mb_* for user-facing length checks. Misconception: believing strlen and mb_strlen are interchangeable on non-ASCII text.",php-web-security
True or False: OPcache can be used as a cache for application data such as query results.,"False<br><br>OPcache caches only compiled bytecode (opcodes) in shared memory; it is not an application data store. For query results or computed values use a cache layer (APCu, Redis, Symfony Cache). Misconception: conflating the bytecode cache with a key/value data cache because both are &quot;caches&quot;.",php-web-security
"For immutable production deploys, why set `opcache.validate_timestamps=0`?","It stops OPcache stat-ing files for changes each request, saving I/O since code never changes<br><br>With validate_timestamps=0 OPcache trusts cached bytecode without checking file mtimes on each request, removing a filesystem stat per script — ideal when deploys are immutable (you clear OPcache on release instead). It does not resize memory, does not cache data, and does not disable OPcache (it makes it more aggressive). Misconception: thinking it turns caching off — it turns off the freshness check.",php-web-security
Which methods must a class implement to satisfy the Iterator interface?,"current, key, next, rewind, valid<br><br>Iterator defines exactly those five methods. getIterator() belongs to IteratorAggregate; count/offsetGet belong to Countable/ArrayAccess; and there is no prev() in the contract. Misconception: mixing Iterator with IteratorAggregate — the latter needs only getIterator(), which usually returns a generator.",php-web-security
Which statement about a generator is true?,"It is a single-use Iterator that produces values lazily<br><br>A generator yields values lazily one at a time and is a built-in Iterator, but it is single-use: once consumed it cannot be rewound. It never materialises the whole sequence (that is its memory advantage) and does not implement ArrayAccess. Misconception: iterating a generator twice and expecting values the second time — it is exhausted.",php-web-security
Which SPL structure maps data keyed by an object instance?,"SplObjectStorage<br><br>SplObjectStorage keys by object identity (spl_object_id) and can attach arbitrary data per object. SplStack (LIFO), SplQueue (FIFO) and SplFixedArray (integer-indexed) are not object-keyed maps. It is ideal for &quot;have I seen this instance?&quot; without polluting the object. Misconception: trying to use an object as a plain array key, which is illegal.",php-web-security
Enabling `$obj[$key]` array-style access on an object requires implementing…,"ArrayAccess<br><br>ArrayAccess provides offsetGet/offsetSet/offsetExists/offsetUnset for bracket syntax. Countable enables count(), Iterator enables foreach, and Stringable enables string casting — none give bracket access. Misconception: assuming one collection interface covers all behaviours; each native behaviour has its own interface.",php-web-security
"For SplPriorityQueue, the ordering among elements of equal priority is…","Unspecified / not stable<br><br>Equal-priority ordering in SplPriorityQueue is implementation-defined and not stable, so you cannot rely on FIFO, LIFO or alphabetical order among ties. If insertion order matters for equal priorities, encode it into the priority yourself. Misconception: assuming a heap preserves insertion order for equal keys — heaps are not stable sorts.",php-web-security
"Why can you not implement `Traversable` directly, and what does `IteratorAggregate::getIterator()` return?","Traversable is an internal marker interface; getIterator() must return a Traversable (e.g. an Iterator or generator)<br><br>Traversable is an engine-internal marker (the base of Iterator and IteratorAggregate) that userland cannot implement directly — you implement one of its children. getIterator() must return a Traversable, commonly an Iterator or a generator (via yield). It does not return a plain array, void, or a Countable. Misconception: trying to `implements Traversable` directly, which is a fatal error.",php-web-security
"A generator is iterated once in a foreach, then a second foreach runs over the same generator. What does the second loop yield?","Nothing — the generator is already consumed and cannot rewind<br><br>A generator is single-use; after the first iteration it is exhausted and a second foreach yields nothing (attempting to rewind an already-started generator would itself error, but simply continuing produces no values). It does not restart or reverse. Wrap the source in an IteratorAggregate that returns a fresh generator each time if you need re-iteration. Misconception: treating a generator like an array you can loop repeatedly.",php-web-security
Calling `count($obj)` on a plain object that does not implement Countable results in…,"A TypeError — count() requires an array or a Countable<br><br>Since PHP 8.0, count() on a non-countable throws a TypeError; older versions only warned and returned 1. It does not count properties, does not return 1, and does not return 0. Implement Countable (a count() method) to make count() work on your object. Misconception: relying on the legacy &quot;returns 1&quot; behaviour, which is now a hard error.",php-web-security
True or False: a plain PHP array can use an object as a key.,"False<br><br>Array keys may only be integers or strings, so objects cannot be array keys — attempting it raises an error. Use SplObjectStorage (or a WeakMap) when you need to key data by an object instance. Misconception: expecting PHP to hash objects into array keys like some languages; it does not.",php-web-security
Match the SPL structures to their discipline. Which pairings are correct? (choose two),SplStack is LIFO ; SplQueue is FIFO<br><br>SplStack is last-in-first-out and SplQueue is first-in-first-out (both built on SplDoublyLinkedList). SplFixedArray has a fixed size (it does not grow dynamically) and uses less memory for dense integer-indexed data. SplMinHeap returns the smallest element first (SplMaxHeap returns the largest). Misconception: assuming a fixed array auto-resizes or confusing min/max heap ordering.,php-web-security
You want a collection usable in `foreach` without hand-writing five Iterator methods. What is the idiomatic approach?,"Implement IteratorAggregate and `yield from $this->items;` in getIterator()<br><br>IteratorAggregate needs only getIterator(); returning a generator with `yield from` delegates iteration in one line, since a generator is itself an Iterator. Implementing Iterator directly is exactly the five-method chore you want to avoid; ArrayAccess gives bracket access, not foreach; and extending SplStack changes the type/semantics unnecessarily. Misconception: thinking foreach support always requires the full Iterator contract.",php-web-security
What is Twig's default defence against XSS?,"Context-aware auto-escaping of output variables<br><br>Twig HTML-escapes variables by default (context-aware), so injected markup renders as inert text. It does not strip tags (it encodes them), does not send CSP (a separate, complementary defence), and does not encrypt output. The |raw filter opts out and reintroduces the risk. Misconception: thinking escaping removes content — it encodes it so the browser treats it as data.",php-web-security
Which technique best prevents SQL injection?,"Prepared statements with bound parameters<br><br>Binding sends the data separately from the SQL text, so input can never alter the query structure. addslashes is fragile and charset-dependent, a WAF is defence-in-depth not a fix, and HTML-escaping addresses XSS, not SQL. Symfony apps use PDO/DBAL with bound parameters. Misconception: believing escaping input is equivalent to parameterisation — only binding structurally separates code from data.",php-web-security
Session fixation is primarily mitigated by…,"Regenerating the session id on login<br><br>Migrating to a new session id at authentication invalidates any attacker-planted id — Symfony does this automatically on login. Longer ids help against guessing (not fixation), logout-only deletion leaves the login window open, and encoding an id changes nothing about the attack. Misconception: conflating fixation (attacker sets the id pre-login) with hijacking (attacker steals the cookie) — they need different defences.",php-web-security
Which response header defends against clickjacking?,"X-Frame-Options: DENY (or CSP frame-ancestors)<br><br>X-Frame-Options: DENY (or CSP frame-ancestors &#x27;none&#x27;) forbids the page from being framed, defeating invisible-iframe clickjacking. X-Content-Type-Options stops MIME sniffing, Referrer-Policy limits referer leakage, and Accept-Language is a request header. Misconception: assuming any security header helps against any attack — each header targets a specific threat.",php-web-security
What is the correct way to store user passwords?,"password_hash() with bcrypt or argon2id<br><br>Adaptive, salted hashing (bcrypt/argon2id via password_hash()) resists brute-force; the per-hash salt is embedded and checked with password_verify(). A static salt plus fast SHA-256 is brute-forceable, MD5 is broken, and reversible encryption defeats the point (a breach reveals plaintext). Misconception: adding your own salt to password_hash() — it generates and embeds one for you.",php-web-security
Why is HTML auto-escaping insufficient when a value is placed inside a `<script>` block or a URL attribute?,"Each context needs its own encoding (js/url); HTML escaping does not neutralise script or URL payloads<br><br>XSS defence must be context-aware: a value safe as HTML text can still break out inside JavaScript or a URL, so you need the js or url escaping strategy there. HTML escaping is not universally sufficient, Twig does not silently disable escaping in script tags, and URLs routinely carry user data (which must be url-encoded). Misconception: treating one escaping strategy as a cure-all across all output contexts.",php-web-security
"In Twig, `{{ comment }}` renders the value `<script>alert(1)</script>`. What is output and why is it safe?","&lt;script&gt;alert(1)&lt;/script&gt; — escaped to inert text, so the script never runs<br><br>Twig auto-escapes to HTML entities, so the browser shows the literal text and executes nothing. It does not run the script (that would require |raw), does not strip the tag (it encodes it), and does not error on the content. Only |raw on this value would reintroduce the XSS. Misconception: assuming the tag is removed rather than entity-encoded.",php-web-security
"In framework.yaml, which session cookie settings harden against hijacking and CSRF?","cookie_secure: auto, cookie_httponly: true, cookie_samesite: lax<br><br>Secure (auto = on when HTTPS) keeps the cookie off plain HTTP, HttpOnly blocks JS access (anti-theft via XSS), and SameSite=lax curbs CSRF by not sending the cookie on cross-site navigations. The second option disables every protection; lifetime and domain settings alone do not harden against these attacks. Misconception: thinking SameSite=None (without Secure) is a safe default — it widens exposure.",php-web-security
How do the `HttpOnly` and `Secure` cookie flags differ?,"HttpOnly blocks JavaScript access to the cookie; Secure restricts it to HTTPS connections<br><br>HttpOnly hides the cookie from document.cookie (mitigating theft via XSS); Secure ensures the cookie is only sent over TLS (mitigating network sniffing). They solve different problems, are not synonyms, and the third option swaps their meanings. Neither affects lifetime (that is Max-Age/ Expires). Misconception: assuming one flag covers both JS access and transport security.",php-web-security
True or False: a CSRF token is an authentication mechanism.,"False<br><br>A CSRF token proves a state-changing request originated from your own form/session, not that a particular user is authenticated — those are separate concerns. Authentication establishes identity; the CSRF token defends already-authenticated sessions from forged cross-site requests. Misconception: treating CSRF tokens as login/identity checks rather than request-origin proof for state-changing actions.",php-web-security
Which pairings of threat and Symfony/PHP defence are correct? (choose two),"XSS is mitigated by Twig context-aware auto-escaping ; SQL injection is mitigated by prepared statements with bound parameters<br><br>XSS→output escaping and SQLi→parameter binding are the canonical pairings. CSRF is mitigated by tokens plus SameSite cookies (not output escaping, which addresses XSS), and clickjacking is mitigated by X-Frame-Options/CSP (password hashing protects stored credentials, an unrelated concern). Misconception: assuming one defence generalises across threats — each attack has its own countermeasure.",php-web-security
